# Selection : patch(inlet)
# Faces  :    4
# Area   :    1.000000e-02
# Time        	areaAverage(phi)
0             	-2.500000e-04
1.868993      	-2.500000e-04
3.953867      	-2.500000e-04
6.03874       	-2.500000e-04
8.123614      	-2.500000e-04
10.212766     	-2.500000e-04
12.340426     	-2.500000e-04
14.468085     	-2.500000e-04
16.595745     	-2.500000e-04
18.723404     	-2.500000e-04
20.851064     	-2.500000e-04
22.978723     	-2.500000e-04
25.106383     	-2.500000e-04
27.234043     	-2.500000e-04
29.361702     	-2.500000e-04
31.489362     	-2.500000e-04
33.617021     	-2.500000e-04
35.744681     	-2.500000e-04
37.87234      	-2.500000e-04
40            	-2.500000e-04
42.12766      	-2.500000e-04
44.255319     	-2.500000e-04
46.382979     	-2.500000e-04
48.510638     	-2.500000e-04
50.638298     	-2.500000e-04
52.765957     	-2.500000e-04
54.893617     	-2.500000e-04
57.021277     	-2.500000e-04
59.148936     	-2.500000e-04
