# Selection : patch(outlet)
# Faces  :    4
# Area   :    1.000000e-02
# Time        	areaAverage(phi)
0             	0.000000e+00
1.868993      	2.522150e-04
3.953867      	2.521812e-04
6.03874       	2.521608e-04
8.123614      	2.521484e-04
10.212766     	2.521357e-04
12.340426     	2.521278e-04
14.468085     	2.521228e-04
16.595745     	2.521188e-04
18.723404     	2.521154e-04
20.851064     	2.521124e-04
22.978723     	2.521099e-04
25.106383     	2.521076e-04
27.234043     	2.521056e-04
29.361702     	2.521038e-04
31.489362     	2.521021e-04
33.617021     	2.521006e-04
35.744681     	2.520992e-04
37.87234      	2.520979e-04
40            	2.520968e-04
42.12766      	2.520957e-04
44.255319     	2.520946e-04
46.382979     	2.520937e-04
48.510638     	2.520928e-04
50.638298     	2.520919e-04
52.765957     	2.520912e-04
54.893617     	2.520904e-04
57.021277     	2.520897e-04
59.148936     	2.520891e-04
