# Selection : patch(outlet)
# Faces  :    4
# Area   :    1.000000e-02
# Time        	areaAverage(U)
0             	(0.000000e+00 0.000000e+00 0.000000e+00)
1.868993      	(6.177681e-03 0.000000e+00 -9.322695e-02)
3.953867      	(5.601614e-03 0.000000e+00 -9.338240e-02)
6.03874       	(5.299879e-03 0.000000e+00 -9.341978e-02)
8.123614      	(5.105110e-03 0.000000e+00 -9.343525e-02)
10.212766     	(4.961846e-03 0.000000e+00 -9.341705e-02)
12.340426     	(4.845004e-03 0.000000e+00 -9.341619e-02)
14.468085     	(4.746658e-03 0.000000e+00 -9.341902e-02)
16.595745     	(4.661376e-03 0.000000e+00 -9.342088e-02)
18.723404     	(4.585955e-03 0.000000e+00 -9.342216e-02)
20.851064     	(4.518366e-03 0.000000e+00 -9.342307e-02)
22.978723     	(4.457222e-03 0.000000e+00 -9.342374e-02)
25.106383     	(4.401470e-03 0.000000e+00 -9.342425e-02)
27.234043     	(4.350349e-03 0.000000e+00 -9.342465e-02)
29.361702     	(4.303239e-03 0.000000e+00 -9.342499e-02)
31.489362     	(4.259636e-03 0.000000e+00 -9.342525e-02)
33.617021     	(4.219132e-03 0.000000e+00 -9.342548e-02)
35.744681     	(4.181387e-03 0.000000e+00 -9.342567e-02)
37.87234      	(4.146116e-03 0.000000e+00 -9.342584e-02)
40            	(4.113077e-03 0.000000e+00 -9.342599e-02)
42.12766      	(4.082065e-03 0.000000e+00 -9.342613e-02)
44.255319     	(4.052904e-03 0.000000e+00 -9.342625e-02)
46.382979     	(4.025443e-03 0.000000e+00 -9.342636e-02)
48.510638     	(3.999518e-03 0.000000e+00 -9.342645e-02)
50.638298     	(3.975069e-03 0.000000e+00 -9.342654e-02)
52.765957     	(3.951979e-03 0.000000e+00 -9.342663e-02)
54.893617     	(3.930151e-03 0.000000e+00 -9.342670e-02)
57.021277     	(3.909525e-03 0.000000e+00 -9.342678e-02)
59.148936     	(3.889999e-03 0.000000e+00 -9.342684e-02)
