# Selection : patch(outlet)
# Faces  :    4
# Area   :    1.000000e-02
# Time        	areaAverage(T)
0             	3.125268e-207
0.3           	1.522236e-193
0.8           	7.207924e-181
1.3           	1.770832e-171
1.8           	8.620674e-164
2.3           	3.262392e-157
2.8           	1.964370e-151
3.3           	2.905897e-146
3.8           	1.408287e-141
4.3           	2.737827e-137
4.8           	2.478126e-133
5.3           	1.169737e-129
5.8           	3.146354e-126
6.3           	5.176797e-123
6.8           	5.519536e-120
7.3           	3.999824e-117
7.8           	2.050311e-114
8.3           	7.690066e-112
8.8           	2.172399e-109
9.3           	4.739085e-107
9.8           	6.130232e-105
10.3          	6.828972e-103
10.8          	6.725851e-101
11.3          	5.877156e-99
11.8          	4.530999e-97
12.3          	3.061937e-95
12.8          	1.808852e-93
13.3          	9.354672e-92
13.8          	4.252614e-90
14.3          	1.708635e-88
14.8          	6.103500e-87
15.3          	1.949956e-85
15.8          	5.603809e-84
16.3          	1.456550e-82
16.8          	3.441771e-81
17.3          	7.429140e-80
17.8          	1.471429e-78
18.3          	2.685312e-77
18.8          	4.533034e-76
19.3          	7.103811e-75
19.8          	1.036967e-73
20.3          	1.414412e-72
20.8          	1.808012e-71
21.3          	2.171883e-70
21.8          	2.458116e-69
22.3          	2.627556e-68
22.8          	2.658730e-67
23.3          	2.552115e-66
23.8          	2.328670e-65
24.3          	2.023601e-64
24.8          	1.677774e-63
25.3          	1.329452e-62
25.8          	1.008424e-61
26.3          	7.333435e-61
26.8          	5.120297e-60
27.3          	3.437189e-59
27.8          	2.221262e-58
28.3          	1.383642e-57
28.8          	8.317431e-57
29.3          	4.830427e-56
29.8          	2.713184e-55
30.3          	1.475419e-54
30.8          	7.775340e-54
31.3          	3.974633e-53
31.8          	1.972589e-52
32.3          	9.512830e-52
32.8          	4.461409e-51
33.3          	2.036405e-50
33.8          	9.053426e-50
34.3          	3.923119e-49
34.8          	1.658138e-48
35.3          	6.840199e-48
35.8          	2.755836e-47
36.3          	1.085029e-46
36.8          	4.177233e-46
37.3          	1.573412e-45
37.8          	5.801496e-45
38.3          	2.095126e-44
38.8          	7.414358e-44
39.3          	2.572424e-43
39.8          	8.754318e-43
40.3          	2.923550e-42
40.8          	9.585136e-42
41.3          	3.086526e-41
41.8          	9.765704e-41
42.3          	3.037186e-40
42.8          	9.288381e-40
43.3          	2.794283e-39
43.8          	8.272149e-39
44.3          	2.410653e-38
44.8          	6.917759e-38
45.3          	1.955474e-37
45.8          	5.446677e-37
46.3          	1.495330e-36
46.8          	4.047594e-36
47.3          	1.080529e-35
47.8          	2.845617e-35
48.3          	7.394945e-35
48.8          	1.896819e-34
49.3          	4.803527e-34
49.8          	1.201284e-33
50.3          	2.967473e-33
50.8          	7.242445e-33
51.3          	1.746787e-32
51.8          	4.164348e-32
52.3          	9.815218e-32
52.8          	2.287651e-31
53.3          	5.273570e-31
53.8          	1.202628e-30
54.3          	2.713645e-30
54.8          	6.059712e-30
55.3          	1.339391e-29
55.8          	2.930872e-29
56.3          	6.350326e-29
56.8          	1.362631e-28
57.3          	2.896114e-28
57.8          	6.097866e-28
58.3          	1.272135e-27
58.8          	2.629957e-27
59.3          	5.388758e-27
59.8          	1.094503e-26
60.3          	2.203917e-26
60.8          	4.400317e-26
61.3          	8.712487e-26
61.8          	1.710911e-25
62.3          	3.332699e-25
62.8          	6.440254e-25
63.3          	1.234815e-24
63.8          	2.349339e-24
64.3          	4.435935e-24
64.8          	8.313248e-24
65.3          	1.546506e-23
65.8          	2.856114e-23
66.3          	5.237085e-23
66.8          	9.535420e-23
67.3          	1.724134e-22
67.8          	3.096187e-22
68.3          	5.522699e-22
68.8          	9.785563e-22
69.3          	1.722549e-21
69.8          	3.012655e-21
70.3          	5.235505e-21
70.8          	9.041449e-21
71.3          	1.551764e-20
71.8          	2.647029e-20
72.3          	4.488213e-20
72.8          	7.564949e-20
73.3          	1.267626e-19
73.8          	2.111851e-19
74.3          	3.498292e-19
74.8          	5.762388e-19
75.3          	9.439196e-19
75.8          	1.537749e-18
76.3          	2.491637e-18
76.8          	4.015722e-18
77.3          	6.438018e-18
77.8          	1.026785e-17
78.3          	1.629203e-17
78.8          	2.571976e-17
79.3          	4.040012e-17
79.8          	6.314660e-17
80.3          	9.821900e-17
80.8          	1.520358e-16
81.3          	2.342214e-16
81.8          	3.591396e-16
82.3          	5.481269e-16
82.8          	8.327304e-16
83.3          	1.259382e-15
83.8          	1.896111e-15
84.3          	2.842147e-15
84.8          	4.241594e-15
85.3          	6.302803e-15
85.8          	9.325722e-15
86.3          	1.374033e-14
86.8          	2.016041e-14
87.3          	2.945844e-14
87.8          	4.286959e-14
88.3          	6.213529e-14
88.8          	8.970091e-14
89.3          	1.289866e-13
89.8          	1.847569e-13
90.3          	2.636238e-13
90.8          	3.747270e-13
91.3          	5.306524e-13
91.8          	7.486664e-13
92.3          	1.052368e-12
92.8          	1.473891e-12
93.3          	2.056833e-12
93.8          	2.860131e-12
94.3          	3.963168e-12
94.8          	5.472497e-12
95.3          	7.530630e-12
95.8          	1.032752e-11
96.3          	1.411546e-11
96.8          	1.922846e-11
97.3          	2.610716e-11
97.8          	3.533097e-11
98.3          	4.765923e-11
98.8          	6.408390e-11
99.3          	8.589655e-11
99.8          	1.147735e-10
100.3         	1.528836e-10
100.8         	2.030239e-10
101.3         	2.687907e-10
101.8         	3.547936e-10
102.3         	4.669226e-10
102.8         	6.126814e-10
103.3         	8.016010e-10
103.8         	1.045751e-09
104.3         	1.360371e-09
104.8         	1.764647e-09
105.3         	2.282665e-09
105.8         	2.944573e-09
106.3         	3.788001e-09
106.8         	4.859790e-09
107.3         	6.218077e-09
107.8         	7.934823e-09
108.3         	1.009886e-08
108.8         	1.281954e-08
109.3         	1.623113e-08
109.8         	2.049803e-08
110.3         	2.582101e-08
110.8         	3.244463e-08
111.3         	4.066597e-08
111.8         	5.084505e-08
112.3         	6.341700e-08
112.8         	7.890639e-08
113.3         	9.794408e-08
113.8         	1.212868e-07
114.3         	1.498401e-07
114.8         	1.846848e-07
115.3         	2.271080e-07
115.8         	2.786387e-07
116.3         	3.410885e-07
116.8         	4.165997e-07
117.3         	5.076984e-07
117.8         	6.173574e-07
118.3         	7.490666e-07
118.8         	9.069135e-07
119.3         	1.095675e-06
119.8         	1.320919e-06
120.3         	1.589125e-06
120.8         	1.907812e-06
121.3         	2.285688e-06
121.8         	2.732817e-06
122.3         	3.260801e-06
122.8         	3.882991e-06
123.3         	4.614711e-06
123.8         	5.473518e-06
124.3         	6.479483e-06
124.8         	7.655500e-06
125.3         	9.027630e-06
125.8         	1.062548e-05
126.3         	1.248260e-05
126.8         	1.463696e-05
127.3         	1.713141e-05
127.8         	2.001425e-05
128.3         	2.333976e-05
128.8         	2.716886e-05
129.3         	3.156977e-05
129.8         	3.661872e-05
130.3         	4.240078e-05
130.8         	4.901059e-05
131.3         	5.655335e-05
131.8         	6.514569e-05
132.3         	7.491669e-05
132.8         	8.600894e-05
133.3         	9.857962e-05
133.8         	1.128017e-04
134.3         	1.288652e-04
134.8         	1.469783e-04
135.3         	1.673688e-04
135.8         	1.902857e-04
136.3         	2.160002e-04
136.8         	2.448073e-04
137.3         	2.770275e-04
137.8         	3.130083e-04
138.3         	3.531256e-04
138.8         	3.977852e-04
139.3         	4.474249e-04
139.8         	5.025156e-04
140.3         	5.635630e-04
140.8         	6.311094e-04
141.3         	7.057352e-04
141.8         	7.880603e-04
142.3         	8.787458e-04
142.8         	9.784951e-04
143.3         	1.088056e-03
143.8         	1.208221e-03
144.3         	1.339829e-03
144.8         	1.483767e-03
145.3         	1.640970e-03
145.8         	1.812423e-03
146.3         	1.999161e-03
146.8         	2.202269e-03
