# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(U)	areaAverage(phi)
1.85088         	(5.85755791e-03 0.00000000e+00 -9.21992472e-02)	2.50000002e-04
3.99539         	(5.22233780e-03 0.00000000e+00 -9.23635595e-02)	2.49999989e-04
6.13989         	(4.84444433e-03 0.00000000e+00 -9.24069607e-02)	2.49999994e-04
8.2844          	(4.57940130e-03 0.00000000e+00 -9.24257828e-02)	2.49999995e-04
10.4348         	(4.37737788e-03 0.00000000e+00 -9.24170391e-02)	2.49999998e-04
12.6087         	(4.21308515e-03 0.00000000e+00 -9.24229366e-02)	2.49999996e-04
14.7826         	(4.07634469e-03 0.00000000e+00 -9.24274164e-02)	2.49999999e-04
16.9565         	(3.95926050e-03 0.00000000e+00 -9.24306573e-02)	2.49999997e-04
19.1304         	(3.85672657e-03 0.00000000e+00 -9.24331016e-02)	2.50000002e-04
21.3043         	(3.76532497e-03 0.00000000e+00 -9.24350010e-02)	2.50000004e-04
23.4783         	(3.68269507e-03 0.00000000e+00 -9.24365129e-02)	2.50000005e-04
25.6522         	(3.60711211e-03 0.00000000e+00 -9.24377385e-02)	2.50000002e-04
27.8261         	(3.53741082e-03 0.00000000e+00 -9.24387523e-02)	2.50000011e-04
30              	(3.47268882e-03 0.00000000e+00 -9.24395954e-02)	2.50000013e-04
32.1739         	(3.41216402e-03 0.00000000e+00 -9.24403035e-02)	2.50000001e-04
34.3478         	(3.35533182e-03 0.00000000e+00 -9.24409129e-02)	2.50000000e-04
36.5217         	(3.30177580e-03 0.00000000e+00 -9.24414403e-02)	2.50000001e-04
38.6957         	(3.25115458e-03 0.00000000e+00 -9.24419011e-02)	2.50000003e-04
40.8696         	(3.20318675e-03 0.00000000e+00 -9.24423052e-02)	2.50000001e-04
43.0435         	(3.15763765e-03 0.00000000e+00 -9.24426636e-02)	2.50000000e-04
45.2174         	(3.11430858e-03 0.00000000e+00 -9.24429836e-02)	2.50000000e-04
47.3913         	(3.07303012e-03 0.00000000e+00 -9.24432709e-02)	2.50000000e-04
49.5652         	(3.03363679e-03 0.00000000e+00 -9.24435380e-02)	2.50000022e-04
51.7391         	(2.99603113e-03 0.00000000e+00 -9.24437732e-02)	2.50000019e-04
53.913          	(2.96010044e-03 0.00000000e+00 -9.24439884e-02)	2.50000018e-04
56.087          	(2.92575704e-03 0.00000000e+00 -9.24441862e-02)	2.50000016e-04
58.2609         	(2.89288222e-03 0.00000000e+00 -9.24443680e-02)	2.50000014e-04
