# Region type : patch inlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(U)	areaAverage(phi)
1.85088         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
3.99539         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
6.13989         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
8.2844          	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
10.4348         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
12.6087         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
14.7826         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
16.9565         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
19.1304         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
21.3043         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
23.4783         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
25.6522         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
27.8261         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
30              	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
32.1739         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
34.3478         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
36.5217         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
38.6957         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
40.8696         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
43.0435         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
45.2174         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
47.3913         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
49.5652         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
51.7391         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
53.913          	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
56.087          	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
58.2609         	(0.00000000e+00 0.00000000e+00 -1.00000000e-01)	-2.50000000e-04
