# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	min(T)
0             	2.980000e+02
0.0132        	2.979852e+02
0.032208      	2.979991e+02
0.0595795     	2.980001e+02
0.0989945     	2.980025e+02
0.155752      	2.980145e+02
0.237483      	2.980622e+02
0.355176      	2.982097e+02
0.524653      	2.985731e+02
0.7687        	2.993601e+02
1.120128      	3.008713e+02
1.626184      	3.034260e+02
2.354905      	3.077231e+02
3.331886      	3.141660e+02
4.331886      	3.211419e+02
5.331886      	3.283817e+02
6.331886      	3.358623e+02
7.331886      	3.434644e+02
8.331886      	3.512013e+02
9.331886      	3.590236e+02
10.331886     	3.669211e+02
11.331886     	3.748692e+02
12.331886     	3.828477e+02
13.331886     	3.908356e+02
14.331886     	3.988192e+02
15.331886     	4.067909e+02
16.331886     	4.147408e+02
17.331886     	4.226605e+02
18.331886     	4.305429e+02
19.331886     	4.383824e+02
20.331886     	4.461742e+02
21.331886     	4.539141e+02
22.331886     	4.615989e+02
23.331886     	4.692260e+02
24.331886     	4.767931e+02
25.331886     	4.842898e+02
26.331886     	4.917073e+02
27.331886     	4.990621e+02
28.331886     	5.063533e+02
29.331886     	5.135802e+02
30.331886     	5.207423e+02
31.331886     	5.278393e+02
32.331886     	5.348708e+02
33.331886     	5.418370e+02
34.331886     	5.487376e+02
35.331886     	5.555729e+02
36.331886     	5.623430e+02
37.331886     	5.690480e+02
38.331886     	5.756883e+02
39.331886     	5.822642e+02
40.331886     	5.887759e+02
41.331886     	5.952239e+02
42.331886     	6.016085e+02
43.331886     	6.079302e+02
44.331886     	6.141894e+02
45.331886     	6.203867e+02
46.331886     	6.265223e+02
47.331886     	6.325969e+02
48.331886     	6.386109e+02
49.331886     	6.445649e+02
50.331886     	6.504592e+02
51.331886     	6.562945e+02
52.331886     	6.620712e+02
53.331886     	6.677899e+02
54.331886     	6.734511e+02
55.331886     	6.790553e+02
56.331886     	6.846030e+02
57.331886     	6.900947e+02
58.331886     	6.955310e+02
59.331886     	7.009124e+02
60.331886     	7.062393e+02
61.331886     	7.115123e+02
62.331886     	7.167320e+02
63.331886     	7.218988e+02
64.331886     	7.270132e+02
65.331886     	7.320757e+02
66.331886     	7.370869e+02
67.331886     	7.420473e+02
68.331886     	7.469572e+02
69.331886     	7.518173e+02
70.331886     	7.566280e+02
71.331886     	7.613898e+02
72.331886     	7.661032e+02
73.331886     	7.707686e+02
74.331886     	7.753866e+02
75.331886     	7.799576e+02
76.331886     	7.844820e+02
77.331886     	7.889604e+02
78.331886     	7.933932e+02
79.331886     	7.977808e+02
80.331886     	8.021237e+02
81.331886     	8.064224e+02
82.331886     	8.106773e+02
83.331886     	8.148888e+02
84.331886     	8.190573e+02
85.331886     	8.231834e+02
86.331886     	8.272674e+02
87.331886     	8.313097e+02
88.331886     	8.353108e+02
89.331886     	8.392711e+02
90.331886     	8.431910e+02
91.331886     	8.470710e+02
92.331886     	8.509113e+02
93.331886     	8.547124e+02
94.331886     	8.584748e+02
95.331886     	8.621987e+02
96.331886     	8.658846e+02
97.331886     	8.695330e+02
98.331886     	8.731440e+02
99.331886     	8.767182e+02
100.331886    	8.802560e+02
101.331886    	8.837576e+02
102.331886    	8.872234e+02
103.331886    	8.906539e+02
104.331886    	8.940493e+02
105.331886    	8.974101e+02
106.331886    	9.007365e+02
107.331886    	9.040290e+02
108.331886    	9.072879e+02
109.331886    	9.105135e+02
110.331886    	9.137061e+02
111.331886    	9.168661e+02
112.331886    	9.199939e+02
113.331886    	9.230897e+02
114.331886    	9.261539e+02
115.331886    	9.291867e+02
116.331886    	9.321886e+02
117.331886    	9.351599e+02
118.331886    	9.381008e+02
119.331886    	9.410116e+02
120.331886    	9.438928e+02
121.331886    	9.467445e+02
122.331886    	9.495670e+02
123.331886    	9.523607e+02
124.331886    	9.551259e+02
125.331886    	9.578629e+02
126.331886    	9.605718e+02
127.331886    	9.632531e+02
128.331886    	9.659070e+02
129.331886    	9.685338e+02
130.331886    	9.711338e+02
131.331886    	9.737072e+02
132.331886    	9.762543e+02
133.331886    	9.787754e+02
