# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
0             	2.980000e+02
0.0132        	2.987900e+02
0.032208      	2.995574e+02
0.0595795     	3.005155e+02
0.0989945     	3.017896e+02
0.155752      	3.033978e+02
0.237483      	3.058651e+02
0.355176      	3.093899e+02
0.524653      	3.142674e+02
0.7687        	3.209974e+02
1.120128      	3.302368e+02
1.626184      	3.428070e+02
2.354905      	3.597018e+02
3.331886      	3.805480e+02
4.331886      	4.001490e+02
5.331886      	4.182733e+02
6.331886      	4.351362e+02
7.331886      	4.509302e+02
8.331886      	4.658100e+02
9.331886      	4.798991e+02
10.331886     	4.932980e+02
11.331886     	5.060926e+02
12.331886     	5.183544e+02
13.331886     	5.301431e+02
14.331886     	5.415084e+02
15.331886     	5.524920e+02
16.331886     	5.631292e+02
17.331886     	5.734493e+02
18.331886     	5.834781e+02
19.331886     	5.932382e+02
20.331886     	6.027492e+02
21.331886     	6.120263e+02
22.331886     	6.210840e+02
23.331886     	6.299351e+02
24.331886     	6.385911e+02
25.331886     	6.470620e+02
26.331886     	6.553569e+02
27.331886     	6.634840e+02
28.331886     	6.714505e+02
29.331886     	6.792619e+02
30.331886     	6.869211e+02
31.331886     	6.944269e+02
32.331886     	7.017836e+02
33.331886     	7.089965e+02
34.331886     	7.160707e+02
35.331886     	7.230110e+02
36.331886     	7.298218e+02
37.331886     	7.365073e+02
38.331886     	7.430715e+02
39.331886     	7.495180e+02
40.331886     	7.558504e+02
41.331886     	7.620719e+02
42.331886     	7.681856e+02
43.331886     	7.741945e+02
44.331886     	7.801012e+02
45.331886     	7.859086e+02
46.331886     	7.916190e+02
47.331886     	7.972348e+02
48.331886     	8.027582e+02
49.331886     	8.081914e+02
50.331886     	8.135364e+02
51.331886     	8.187952e+02
52.331886     	8.239695e+02
53.331886     	8.290612e+02
54.331886     	8.340721e+02
55.331886     	8.390039e+02
56.331886     	8.438581e+02
57.331886     	8.486365e+02
58.331886     	8.533405e+02
59.331886     	8.579718e+02
60.331886     	8.625316e+02
61.331886     	8.670216e+02
62.331886     	8.714431e+02
63.331886     	8.757963e+02
64.331886     	8.800809e+02
65.331886     	8.842971e+02
66.331886     	8.884472e+02
67.331886     	8.925322e+02
68.331886     	8.965538e+02
69.331886     	9.005132e+02
70.331886     	9.044116e+02
71.331886     	9.082504e+02
72.331886     	9.120309e+02
73.331886     	9.157541e+02
74.331886     	9.194213e+02
75.331886     	9.230333e+02
76.331886     	9.265911e+02
77.331886     	9.300959e+02
78.331886     	9.335487e+02
79.331886     	9.369505e+02
80.331886     	9.403024e+02
81.331886     	9.436052e+02
82.331886     	9.468598e+02
83.331886     	9.500671e+02
84.331886     	9.532280e+02
85.331886     	9.563435e+02
86.331886     	9.594143e+02
87.331886     	9.624414e+02
88.331886     	9.654257e+02
89.331886     	9.683679e+02
90.331886     	9.712689e+02
91.331886     	9.741296e+02
92.331886     	9.769506e+02
93.331886     	9.797329e+02
94.331886     	9.824771e+02
95.331886     	9.851839e+02
96.331886     	9.878541e+02
97.331886     	9.904884e+02
98.331886     	9.930874e+02
99.331886     	9.956567e+02
100.331886    	9.982045e+02
101.331886    	1.000739e+03
102.331886    	1.003257e+03
103.331886    	1.005757e+03
104.331886    	1.008240e+03
105.331886    	1.010697e+03
106.331886    	1.013125e+03
107.331886    	1.015522e+03
108.331886    	1.017894e+03
109.331886    	1.020237e+03
110.331886    	1.022552e+03
111.331886    	1.024841e+03
112.331886    	1.027101e+03
113.331886    	1.029333e+03
114.331886    	1.031536e+03
115.331886    	1.033712e+03
116.331886    	1.035861e+03
117.331886    	1.037985e+03
118.331886    	1.040083e+03
119.331886    	1.042155e+03
120.331886    	1.044203e+03
121.331886    	1.046225e+03
122.331886    	1.048220e+03
123.331886    	1.050187e+03
124.331886    	1.052128e+03
125.331886    	1.054043e+03
126.331886    	1.055932e+03
127.331886    	1.057795e+03
128.331886    	1.059633e+03
129.331886    	1.061446e+03
130.331886    	1.063234e+03
131.331886    	1.064997e+03
132.331886    	1.066736e+03
133.331886    	1.068450e+03
134.331886    	1.070141e+03
135.331886    	1.071807e+03
136.331886    	1.073451e+03
137.331886    	1.075071e+03
138.331886    	1.076668e+03
139.331886    	1.078242e+03
140.331886    	1.079794e+03
141.331886    	1.081324e+03
142.331886    	1.082832e+03
143.331886    	1.084319e+03
144.331886    	1.085784e+03
145.331886    	1.087228e+03
146.331886    	1.088652e+03
147.331886    	1.090057e+03
148.331886    	1.091441e+03
149.331886    	1.092807e+03
150.331886    	1.094153e+03
151.331886    	1.095482e+03
152.331886    	1.096792e+03
153.331886    	1.098085e+03
154.331886    	1.099361e+03
155.331886    	1.100620e+03
156.331886    	1.101862e+03
157.331886    	1.103088e+03
158.331886    	1.104299e+03
159.331886    	1.105494e+03
160.331886    	1.106674e+03
161.331886    	1.107840e+03
162.331886    	1.108991e+03
163.331886    	1.110128e+03
164.331886    	1.111251e+03
165.331886    	1.112360e+03
166.331886    	1.113456e+03
167.331886    	1.114540e+03
168.331886    	1.115610e+03
169.331886    	1.116668e+03
170.331886    	1.117714e+03
171.331886    	1.118748e+03
172.331886    	1.119770e+03
173.331886    	1.120780e+03
174.331886    	1.121779e+03
175.331886    	1.122767e+03
176.331886    	1.123743e+03
177.331886    	1.124709e+03
178.331886    	1.125664e+03
179.331886    	1.126608e+03
180.331886    	1.127542e+03
181.331886    	1.128466e+03
182.331886    	1.129380e+03
183.331886    	1.130284e+03
184.331886    	1.131178e+03
185.331886    	1.132063e+03
186.331886    	1.132938e+03
187.331886    	1.133804e+03
188.331886    	1.134660e+03
189.331886    	1.135508e+03
190.331886    	1.136346e+03
191.331886    	1.137176e+03
192.331886    	1.137996e+03
193.331886    	1.138809e+03
194.331886    	1.139612e+03
195.331886    	1.140408e+03
196.331886    	1.141195e+03
197.331886    	1.141973e+03
198.331886    	1.142744e+03
199.331886    	1.143507e+03
200.331886    	1.144262e+03
201.331886    	1.145009e+03
202.331886    	1.145748e+03
203.331886    	1.146480e+03
204.331886    	1.147204e+03
205.331886    	1.147921e+03
206.331886    	1.148631e+03
207.331886    	1.149333e+03
208.331886    	1.150029e+03
209.331886    	1.150717e+03
210.331886    	1.151398e+03
211.331886    	1.152072e+03
212.331886    	1.152740e+03
213.331886    	1.153401e+03
214.331886    	1.154055e+03
215.331886    	1.154702e+03
216.331886    	1.155344e+03
217.331886    	1.155978e+03
218.331886    	1.156607e+03
219.331886    	1.157229e+03
220.331886    	1.157845e+03
221.331886    	1.158454e+03
222.331886    	1.159058e+03
223.331886    	1.159656e+03
224.331886    	1.160247e+03
225.331886    	1.160833e+03
226.331886    	1.161413e+03
227.331886    	1.161988e+03
228.331886    	1.162557e+03
