# Selection   : all
# Cells       : 5712
# Volume      : 1.562305e-05
# Time        	max(T)
0             	2.980000e+02
0.0132        	2.986929e+02
0.032208      	2.993826e+02
0.0595795     	3.001836e+02
0.0989945     	3.011969e+02
0.155752      	3.026284e+02
0.237483      	3.044547e+02
0.355176      	3.068576e+02
0.524653      	3.106940e+02
0.7687        	3.160162e+02
1.120128      	3.233763e+02
1.626184      	3.335131e+02
2.354905      	3.473815e+02
3.331886      	3.649040e+02
4.331886      	3.818419e+02
5.331886      	3.979080e+02
6.331886      	4.131548e+02
7.331886      	4.276474e+02
8.331886      	4.414457e+02
9.331886      	4.546060e+02
10.331886     	4.671750e+02
11.331886     	4.791990e+02
12.331886     	4.907210e+02
13.331886     	5.017804e+02
14.331886     	5.124135e+02
15.331886     	5.226533e+02
16.331886     	5.325300e+02
17.331886     	5.420710e+02
18.331886     	5.513012e+02
19.331886     	5.602433e+02
20.331886     	5.689179e+02
21.331886     	5.773436e+02
22.331886     	5.855373e+02
23.331886     	5.935146e+02
24.331886     	6.012892e+02
25.331886     	6.088741e+02
26.331886     	6.162807e+02
27.331886     	6.235197e+02
28.331886     	6.306007e+02
29.331886     	6.375324e+02
30.331886     	6.443230e+02
31.331886     	6.509797e+02
32.331886     	6.575094e+02
33.331886     	6.639183e+02
34.331886     	6.702121e+02
35.331886     	6.763960e+02
36.331886     	6.824748e+02
37.331886     	6.884531e+02
38.331886     	6.943349e+02
39.331886     	7.001242e+02
40.331886     	7.058244e+02
41.331886     	7.114388e+02
42.331886     	7.169705e+02
43.331886     	7.224223e+02
44.331886     	7.277969e+02
45.331886     	7.330968e+02
46.331886     	7.383242e+02
47.331886     	7.434814e+02
48.331886     	7.485703e+02
49.331886     	7.535929e+02
50.331886     	7.585509e+02
51.331886     	7.634460e+02
52.331886     	7.682798e+02
53.331886     	7.730539e+02
54.331886     	7.777695e+02
55.331886     	7.824280e+02
56.331886     	7.870307e+02
57.331886     	7.915788e+02
58.331886     	7.960735e+02
59.331886     	8.005157e+02
60.331886     	8.049065e+02
61.331886     	8.092469e+02
62.331886     	8.135379e+02
63.331886     	8.177803e+02
64.331886     	8.219749e+02
65.331886     	8.261227e+02
66.331886     	8.302243e+02
67.331886     	8.342805e+02
68.331886     	8.382921e+02
69.331886     	8.422598e+02
70.331886     	8.461841e+02
71.331886     	8.500659e+02
72.331886     	8.539056e+02
73.331886     	8.577039e+02
74.331886     	8.614614e+02
75.331886     	8.651786e+02
76.331886     	8.688562e+02
77.331886     	8.724945e+02
78.331886     	8.760943e+02
79.331886     	8.796558e+02
80.331886     	8.831797e+02
81.331886     	8.866665e+02
82.331886     	8.901165e+02
83.331886     	8.935303e+02
84.331886     	8.969083e+02
85.331886     	9.002509e+02
86.331886     	9.035585e+02
87.331886     	9.068317e+02
88.331886     	9.100707e+02
89.331886     	9.132759e+02
90.331886     	9.164479e+02
91.331886     	9.195869e+02
92.331886     	9.226933e+02
93.331886     	9.257675e+02
94.331886     	9.288098e+02
95.331886     	9.318207e+02
96.331886     	9.348005e+02
97.331886     	9.377494e+02
98.331886     	9.406680e+02
99.331886     	9.435564e+02
100.331886    	9.464150e+02
101.331886    	9.492442e+02
102.331886    	9.520442e+02
103.331886    	9.548154e+02
104.331886    	9.575581e+02
105.331886    	9.602726e+02
106.331886    	9.629591e+02
107.331886    	9.656181e+02
108.331886    	9.682497e+02
109.331886    	9.708544e+02
110.331886    	9.734322e+02
111.331886    	9.759837e+02
112.331886    	9.785089e+02
113.331886    	9.810083e+02
114.331886    	9.834820e+02
115.331886    	9.859304e+02
116.331886    	9.883536e+02
117.331886    	9.907521e+02
118.331886    	9.931259e+02
119.331886    	9.954754e+02
120.331886    	9.978009e+02
121.331886    	1.000103e+03
122.331886    	1.002381e+03
123.331886    	1.004635e+03
124.331886    	1.006867e+03
125.331886    	1.009076e+03
126.331886    	1.011262e+03
127.331886    	1.013426e+03
128.331886    	1.015568e+03
129.331886    	1.017688e+03
130.331886    	1.019786e+03
131.331886    	1.021862e+03
132.331886    	1.023918e+03
133.331886    	1.025952e+03
134.331886    	1.027966e+03
135.331886    	1.029959e+03
136.331886    	1.031931e+03
137.331886    	1.033884e+03
138.331886    	1.035816e+03
139.331886    	1.037729e+03
140.331886    	1.039622e+03
141.331886    	1.041496e+03
142.331886    	1.043351e+03
143.331886    	1.045186e+03
144.331886    	1.047003e+03
145.331886    	1.048802e+03
146.331886    	1.050582e+03
147.331886    	1.052343e+03
148.331886    	1.054087e+03
149.331886    	1.055813e+03
150.331886    	1.057521e+03
151.331886    	1.059212e+03
152.331886    	1.060886e+03
153.331886    	1.062542e+03
154.331886    	1.064182e+03
155.331886    	1.065805e+03
156.331886    	1.067411e+03
157.331886    	1.069001e+03
158.331886    	1.070574e+03
159.331886    	1.072132e+03
160.331886    	1.073673e+03
161.331886    	1.075199e+03
162.331886    	1.076709e+03
163.331886    	1.078204e+03
164.331886    	1.079683e+03
165.331886    	1.081148e+03
166.331886    	1.082597e+03
167.331886    	1.084032e+03
168.331886    	1.085452e+03
169.331886    	1.086857e+03
170.331886    	1.088248e+03
171.331886    	1.089625e+03
172.331886    	1.090988e+03
173.331886    	1.092337e+03
174.331886    	1.093672e+03
175.331886    	1.094993e+03
176.331886    	1.096301e+03
177.331886    	1.097595e+03
178.331886    	1.098877e+03
179.331886    	1.100145e+03
180.331886    	1.101400e+03
181.331886    	1.102643e+03
182.331886    	1.103873e+03
183.331886    	1.105090e+03
184.331886    	1.106294e+03
185.331886    	1.107487e+03
186.331886    	1.108667e+03
187.331886    	1.109835e+03
188.331886    	1.110992e+03
189.331886    	1.112136e+03
190.331886    	1.113269e+03
191.331886    	1.114390e+03
192.331886    	1.115500e+03
193.331886    	1.116598e+03
194.331886    	1.117685e+03
195.331886    	1.118761e+03
196.331886    	1.119826e+03
197.331886    	1.120881e+03
198.331886    	1.121924e+03
199.331886    	1.122957e+03
200.331886    	1.123979e+03
201.331886    	1.124991e+03
202.331886    	1.125992e+03
203.331886    	1.126983e+03
204.331886    	1.127964e+03
205.331886    	1.128935e+03
206.331886    	1.129896e+03
207.331886    	1.130848e+03
208.331886    	1.131789e+03
209.331886    	1.132721e+03
210.331886    	1.133644e+03
211.331886    	1.134557e+03
212.331886    	1.135460e+03
213.331886    	1.136355e+03
214.331886    	1.137240e+03
215.331886    	1.138116e+03
216.331886    	1.138984e+03
217.331886    	1.139842e+03
218.331886    	1.140692e+03
219.331886    	1.141533e+03
220.331886    	1.142365e+03
221.331886    	1.143189e+03
222.331886    	1.144004e+03
223.331886    	1.144812e+03
224.331886    	1.145610e+03
225.331886    	1.146401e+03
226.331886    	1.147184e+03
227.331886    	1.147959e+03
228.331886    	1.148725e+03
229.331886    	1.149484e+03
230.331886    	1.150235e+03
231.331886    	1.150979e+03
232.331886    	1.151715e+03
233.331886    	1.152443e+03
234.331886    	1.153164e+03
235.331886    	1.153877e+03
236.331886    	1.154584e+03
237.331886    	1.155283e+03
238.331886    	1.155975e+03
239.331886    	1.156659e+03
240.331886    	1.157337e+03
241.331886    	1.158008e+03
242.331886    	1.158672e+03
243.331886    	1.159330e+03
244.331886    	1.159980e+03
245.331886    	1.160624e+03
246.331886    	1.161261e+03
247.331886    	1.161892e+03
248.331886    	1.162517e+03
249.331886    	1.163135e+03
250.331886    	1.163746e+03
251.331886    	1.164352e+03
252.331886    	1.164951e+03
253.331886    	1.165544e+03
254.331886    	1.166131e+03
255.331886    	1.166712e+03
256.331886    	1.167287e+03
257.331886    	1.167856e+03
258.331886    	1.168420e+03
259.331886    	1.168978e+03
260.331886    	1.169530e+03
261.331886    	1.170076e+03
262.331886    	1.170617e+03
263.331886    	1.171152e+03
264.331886    	1.171682e+03
265.331886    	1.172206e+03
266.331886    	1.172725e+03
267.331886    	1.173239e+03
268.331886    	1.173747e+03
269.331886    	1.174250e+03
270.331886    	1.174748e+03
271.331886    	1.175241e+03
272.331886    	1.175729e+03
273.331886    	1.176212e+03
274.331886    	1.176690e+03
275.331886    	1.177164e+03
276.331886    	1.177632e+03
277.331886    	1.178095e+03
278.331886    	1.178554e+03
279.331886    	1.179008e+03
280.331886    	1.179458e+03
