T[C]	k[W/(m.K)]
25	60.22092
30	59.995
40	59.55736
50	59.17778
60	58.805
70	58.36761
80	57.90696
90	57.43746
100	56.9634
110	56.48659
120	56.00797
130	55.52811
140	55.04739
150	54.56609
154.18	54.3649
160	53.9057
166.45	53.43136
170	53.2641
180	52.79309
190	52.32201
200	51.85092
210	51.37989
220	50.909
230	50.4383
240	49.96786
250	49.49774
260	49.028
270	48.55869
280	48.08986
290	47.62158
300	47.15389
310	46.68684
320	46.22049
330	45.75489
340	45.29009
350	44.82615
360	44.36312
370	43.90108
380	43.4401
390	42.98026
400	42.52166
410	42.06444
420	41.60874
430	41.15477
440	40.70276
450	40.253
460	39.80587
470	39.36179
480	38.92128
490	38.48665
500	38.05479
510	37.62834
520	37.20794
530	36.79422
540	36.38773
550	35.98893
560	35.5981
570	35.21551
580	34.84128
590	34.47544
593.68	34.34291
600	34.15757
610	33.87046
620	33.59093
630	33.31903
640	33.05482
650	32.79834
660	32.54965
670	32.30881
680	32.0759
690	31.85098
700	31.63414
710	31.42545
720	31.225
721.18	31.20199
730	29.33458
734.14	28.21279
740	27.70784
750	26.90088
751.44	26.78903
760	26.46129
770	26.07184
771.52	26.01127
780	26.11281
790	26.2326
800	26.3524
810	26.4722
820	26.59199
830	26.71179
840	26.83159
850	26.95139
860	27.07118
870	27.19098
880	27.31078
890	27.43058
900	27.55037
910	27.67017
920	27.78997
930	27.90977
940	28.02956
950	28.14936
960	28.26916
970	28.38896
980	28.50875
990	28.62855
1000	28.74835
